כתובת,מהות הבקשה,pdf_url,תאריך,date_parsed,row_id,pdf_status,תאריך_הדפסה,מתאריך,עד_תאריך,שם_בעל_הרישיון,סיבת_הבקשה,סיבה_מילולית,ישוב,רחוב,מס,גוש,חלקה,מיני_עצים,מספרי_עצים,מספר_מינים_שחולצו
הרצל - מכון ויצמן למדע 4 (מעונות קיפניס),כריתה,https://www.rehovot.muni.il/uploads/n/1705481437.6042.pdf,31/01/24-31/01/27,2027-01-31,הרצל - מכון ויצמן למדע 4 (מעונות קיפניס)|כריתה|https://www.rehovot.muni.il/uploads/n/1705481437.6042.pdf|31/01/24-31/01/27,http_200,17/01/2024,31/01/24,31/01/27,מכון ויצמן למדע,בניה,הריסה והקמת מבנים,רחובות,הרצל -מכון ויצמן למדע,234,3694,86,"אורן הצנובר
סיגלון עלה-מימוזה
ברוש מצוי
אורן קפריסאי
ברוש אריזוני
מכנף נאה
אורן קנרי
אזדרכת מצויה
פלפלון דמוי-אלה","1
14
4
1
1
4
4
2
3",9
אברהם גולדברג,כריתה,https://www.rehovot.muni.il/uploads/n/1704089749.8944.pdf,14/01/24-14/01/27,2027-01-14,אברהם גולדברג|כריתה|https://www.rehovot.muni.il/uploads/n/1704089749.8944.pdf|14/01/24-14/01/27,http_200,31/12/2023,14/01/24,14/01/27,"חב 'לב אפשטיין בע""מ",בניה,הקמת מבנה מגורים,רחובות,אברהם גולדברג,1,,1121,"פיקוס השדרות
חרוב מצוי","4
1",2
קרית משה (קרקע משלימה),העתקה,https://www.rehovot.muni.il/uploads/n/1703511886.8295.pdf,08/01/24-08/01/27,2027-01-08,קרית משה (קרקע משלימה)|העתקה|https://www.rehovot.muni.il/uploads/n/1703511886.8295.pdf|08/01/24-08/01/27,http_200,25/12/2023,08/01/24,08/01/27,חב ',בניה,הקמת מבני מגורים,רחובות,ק.,,3680,161-164,פיקוס השקמה,1,1
צבי הורביץ,כריתה,https://www.rehovot.muni.il/uploads/n/1703418108.3333.pdf,07/01/24-07/01/27,2027-01-07,צבי הורביץ|כריתה|https://www.rehovot.muni.il/uploads/n/1703418108.3333.pdf|07/01/24-07/01/27,http_200,24/12/2023,07/01/24,07/01/27,עיריית רחובות,אחר,שדרוג נופי /אינם מפותחים נופית,רחובות,צבי הורוביץ,,4545,"54,60-62","תות לבן
תות בכות","2
10",2
שדרות יצחק יעקובי,כריתה,https://www.rehovot.muni.il/uploads/n/1702191059.4530.pdf,24/12/23-24/12/26,2026-12-24,שדרות יצחק יעקובי|כריתה|https://www.rehovot.muni.il/uploads/n/1702191059.4530.pdf|24/12/23-24/12/26,http_200,10/12/2023,24/12/23,24/12/26,עיריית רחובות,בניה,עבודות פיתוח נופי והסדרת שבילי אופניים,רחובות,שד 'יעקובי,,3697,"490,577","סייגרוס רומנזוף
ברכיכיטון דו-גוני","17
26",2
זרח שעובי 1,כריתה,https://www.rehovot.muni.il/uploads/n/1701585304.4478.pdf,17/12/23-17/12/26,2026-12-17,זרח שעובי 1|כריתה|https://www.rehovot.muni.il/uploads/n/1701585304.4478.pdf|17/12/23-17/12/26,http_200,03/12/2023,17/12/23,17/12/26,נועה כברה,בניה,הקמת מבנה מגורים,רחובות,זרח שעובי,1,,593,"הדר התפוז
זית אירופי","1
1",2
מרבד הקסמים 47,העתקה,https://www.rehovot.muni.il/uploads/n/1701585406.6515.pdf,17/12/23-17/12/26,2026-12-17,מרבד הקסמים 47|העתקה|https://www.rehovot.muni.il/uploads/n/1701585406.6515.pdf|17/12/23-17/12/26,http_200,03/12/2023,17/12/23,17/12/26,"שני תבור יזמות בע""מ",בניה,הקמת מבנה מגוריםן,רחובות,מרבד הקסמים,47,,"48,51",זית אירופי,2,1
מרבד הקסמים 47,כריתה,https://www.rehovot.muni.il/uploads/n/1701585399.1809.pdf,17/12/23-17/12/26,2026-12-17,מרבד הקסמים 47|כריתה|https://www.rehovot.muni.il/uploads/n/1701585399.1809.pdf|17/12/23-17/12/26,http_200,03/12/2023,17/12/23,17/12/26,"שני תבור יזמות בע""מ",בניה,הקמת מבנה מגורים,רחובות,מרבד הקסמים,47,,"48,51","אזדרכת מצויה
הדר הלימון","1
1",2
יגאל יחי 25,כריתה,https://www.rehovot.muni.il/uploads/n/1701346146.9952.pdf,14/12/23-14/12/26,2026-12-14,יגאל יחי 25|כריתה|https://www.rehovot.muni.il/uploads/n/1701346146.9952.pdf|14/12/23-14/12/26,http_200,30/11/2023,14/12/23,14/12/26,עמנואל ברזילי,בניה,הקמת מבנה מגורים,רחובות,יגאל יחיא,25,,284,אזדרכת מצויה,1,1
הרצל 211,כריתה,https://www.rehovot.muni.il/uploads/n/1701078532.7798.pdf,11/12/23-11/12/26,2026-12-11,הרצל 211|כריתה|https://www.rehovot.muni.il/uploads/n/1701078532.7798.pdf|11/12/23-11/12/26,http_200,27/11/2023,11/12/23,11/12/26,עיריית רחובות,בניה,הקמת מבנה מגורים,רחובות,הרצל,211,,219,גרווילאה חסונה,1,1
הרצל 211,העתקה,https://www.rehovot.muni.il/uploads/n/1701078516.9441.pdf,11/12/23-11/12/26,2026-12-11,הרצל 211|העתקה|https://www.rehovot.muni.il/uploads/n/1701078516.9441.pdf|11/12/23-11/12/26,http_200,27/11/2023,11/12/23,11/12/26,עיריית רחובות,בניה,הקמת מבנה מגורים,רחובות,הרצל,211,,219,פיקוס קדוש,1,1
הנשיא הראשון 53,כריתה,https://www.rehovot.muni.il/uploads/n/1699169255.9051.pdf,17/11/23-17/11/26,2026-11-17,הנשיא הראשון 53|כריתה|https://www.rehovot.muni.il/uploads/n/1699169255.9051.pdf|17/11/23-17/11/26,http_200,03/11/2023,17/11/23,17/11/26,"ירון גדסי יזמות ובניה בע""מ",בניה,הקמת מבנה מגורים,רחובות,הנשיא הראשון,53,,471,"שסק יפני
בוהיניה מגוונת
סיגלון עלה-מימוזה","1
1
1",3
קרית משה,העתקה,https://www.rehovot.muni.il/uploads/n/1699168113.2869.pdf,17/11/23-17/11/26,2026-11-17,קרית משה|העתקה|https://www.rehovot.muni.il/uploads/n/1699168113.2869.pdf|17/11/23-17/11/26,http_200,03/11/2023,17/11/23,17/11/26,עיריית רחובות,בניה,"תמ""",רחובות,שכ 'קרית משה,,,,"זית אירופי
פיקוס השדרות
פיקוס מעוקם","14
7
1",3
קרית משה,כריתה,https://www.rehovot.muni.il/uploads/n/1699168131.8115.pdf,17/11/23-17/11/26,2026-11-17,קרית משה|כריתה|https://www.rehovot.muni.il/uploads/n/1699168131.8115.pdf|17/11/23-17/11/26,http_200,03/11/2023,17/11/23,17/11/26,עיריית רחובות,בניה,"תמ""",רחובות,שכ 'קרית משה,,,,"אדר מילני
אורן ירושלים
אזדרכת מצויה
אלמוגן הודי
איקליפטוס המקור
אשחר רחב-עלים
אשל הפרקים
בוהיניה מגוונת
בומבק צייבה
ברוש מצוי
ברכיכיטון אדרי
ברכיכיטון הסלעים
ברכיכיטון צפצפתי
ושינגטוניה חסונה
ליוויסטונה סינית
דיפסיס דקרי
סייגרוס רומנזוף
תמר מצוי-דקל
תמר קנרי
הדר החושחש
הדר הלימון
הדר הפומלית
זית אירופי
חרוב מצוי
לגרסטרמיה הודית
מכנף נאה
סיגלון עלה-מימוזה
סיסם הודי
פיקוס השדרות
פיקוס קדוש
פלפלון דמוי-אלה
פנסית דו-נוצתית
קליסטמון הנצרים
שיזף מצוי
שיטה כחלחלה
שסק יפני
תות שחור
תות לבן","4
5
20
4
99
1
3
2
1
14
3
12
1
56
19
5
2
5
1
6
3
9
6
2
5
8
2
2
4
1
1
8
1
1
5
3
8
4",38
"כביש 47, קרית משה",העתקה,https://www.rehovot.muni.il/uploads/n/1698562302.9323.pdf,10/11/23-10/11/26,2026-11-10,"כביש 47, קרית משה|העתקה|https://www.rehovot.muni.il/uploads/n/1698562302.9323.pdf|10/11/23-10/11/26",http_200,27/10/2023,10/11/23,10/11/26,עיריית רחובות,בניה,עבודות פיתוח,רחובות,כביש47,,5479,184,זית אירופי,10,1
"יום הכיפורים, שטח ציבורי פתוח",העתקה,https://www.rehovot.muni.il/uploads/n/1698562159.3458.pdf,10/11/23-10/11/26,2026-11-10,"יום הכיפורים, שטח ציבורי פתוח|העתקה|https://www.rehovot.muni.il/uploads/n/1698562159.3458.pdf|10/11/23-10/11/26",http_200,27/10/2023,10/11/23,10/11/26,עיריית רחובות,בניה,עבודות פיתוח,רחובות,יום הכיפורים,,3678,66,זית אירופי,9,1
"קק""ל 13",כריתה,https://www.rehovot.muni.il/uploads/n/1698562661.4366.pdf,10/11/23-10/11/26,2026-11-10,"קק""ל 13|כריתה|https://www.rehovot.muni.il/uploads/n/1698562661.4366.pdf|10/11/23-10/11/26",http_200,27/10/2023,10/11/23,10/11/26,איתי רמבק,בניה,הקמת מבנה מגורים,רחובות,"קק""ל",13,,50,"קליסטמון הנצרים
ברוש מצוי","1
3",2
"קק""ל 13",העתקה,https://www.rehovot.muni.il/uploads/n/1698562651.2531.pdf,10/11/23-10/11/26,2026-11-10,"קק""ל 13|העתקה|https://www.rehovot.muni.il/uploads/n/1698562651.2531.pdf|10/11/23-10/11/26",http_200,27/10/2023,10/11/23,10/11/26,איתי רמבק,בניה,הקמת מבנה מגורים,רחובות,"קק""ל",13,,50,חרוב מצוי,1,1
"יום הכיפורים, שטח ציבורי פתוח",כריתה,https://www.rehovot.muni.il/uploads/n/1698562181.4650.pdf,10/11/23-10/11/26,2026-11-10,"יום הכיפורים, שטח ציבורי פתוח|כריתה|https://www.rehovot.muni.il/uploads/n/1698562181.4650.pdf|10/11/23-10/11/26",http_200,27/10/2023,10/11/23,10/11/26,עיריית רחובות,בניה,עבודות פיתוח,רחובות,יום הכיפורים,,3678,66,"אזדרכת מצויה
פיקוס התאנה
זית אירופי
הדר התפוז
תות לבן
שסק יפני
ושינגטוניה חסונה
רימון מצוי","5
2
1
1
1
2
5
1",8
"כביש 47, קרית משה",כריתה,https://www.rehovot.muni.il/uploads/n/1698562313.9300.pdf,10/11/23-10/11/26,2026-11-10,"כביש 47, קרית משה|כריתה|https://www.rehovot.muni.il/uploads/n/1698562313.9300.pdf|10/11/23-10/11/26",http_200,27/10/2023,10/11/23,10/11/26,עיריית רחובות,בניה,עבודות פיתוח,רחובות,כביש47,,5479,184,"מייש בונגה
דקל ושינגטוניה חוטית
סייגרוס רומנזוף
פלפלון דמוי-אלה
זית אירופי
רימון מצוי
פיקוס התאנה
הדר התפוז
אבוקדו אמריקני
תמר מצוי-דקל
תויה מזרחית
ושינגטוניה חסונה","1
1
1
1
3
1
1
1
1
1
1
1",12
מאגר מים קרית משה,כריתה,https://www.rehovot.muni.il/uploads/n/1695880475.5931.pdf,11/10/23-11/10/26,2026-10-11,מאגר מים קרית משה|כריתה|https://www.rehovot.muni.il/uploads/n/1695880475.5931.pdf|11/10/23-11/10/26,http_200,27/09/2023,11/10/23,11/10/26,עיריית רחובות,בניה,הקמת מאגר מים,רחובות,שכ ',,3665,66,"זית אירופי
הדר התפוז
קריית הפקן
תות לבן
אזדרכת מצויה
אבוקדו אמריקני
שסק יפני
פלפלון דמוי-אלה
הדר הלימון
שקד מצוי
תמר מצוי-דקל
ברוש מצוי","47
55
1
12
2
3
2
1
1
1
1
2",12
שמשון צור,כריתה,https://www.rehovot.muni.il/uploads/n/1695880330.9675.pdf,10/10/23-10/10/26,2026-10-10,שמשון צור|כריתה|https://www.rehovot.muni.il/uploads/n/1695880330.9675.pdf|10/10/23-10/10/26,http_200,26/09/2023,10/10/23,10/10/26,"חב 'ע.י בניה ויזמות בע""מ",בניה,הקמת מבני מגורים,רחובות,שמשון צור,,3658,459,"פיקוס התאנה
אזדרכת מצויה","1
1",2
שמשון צור,כריתה,https://www.rehovot.muni.il/uploads/n/1695717391.4636.pdf,10/10/23-10/10/26,2026-10-10,שמשון צור|כריתה|https://www.rehovot.muni.il/uploads/n/1695717391.4636.pdf|10/10/23-10/10/26,http_200,26/09/2023,10/10/23,10/10/26,עיריית רחובות,בניה,עבודות פיתוח נופי,רחובות,שמשון צור,,,,"שזיף הדובדבן
ליוויסטונה סינית
הדר התפוז
כרבל לביד","2
1
12
10",4
אהרון אייזנברג 38-40,כריתה,https://www.rehovot.muni.il/uploads/n/1695202989.8319.pdf,04/10/23-04/10/26,2026-10-04,אהרון אייזנברג 38-40|כריתה|https://www.rehovot.muni.il/uploads/n/1695202989.8319.pdf|04/10/23-04/10/26,http_200,20/09/2023,04/10/23,04/10/26,"חב 'אסף אייזנברג בע""מ",בניה,הקמת מבנה מגורים,רחובות,אהרון אייזנברג,38-40,,1006-1007,"פלפלון דמוי-אלה
שסק יפני
סיסם הודי
תות לבן","2
1
3
1",4
אליעזר בן יהודה 8,כריתה,https://www.rehovot.muni.il/uploads/n/1695122147.7171.pdf,03/10/23-03/10/26,2026-10-03,אליעזר בן יהודה 8|כריתה|https://www.rehovot.muni.il/uploads/n/1695122147.7171.pdf|03/10/23-03/10/26,http_200,19/09/2023,03/10/23,03/10/26,חב ',בניה,הקמת מבנה מגורים,רחובות,אליעזר בן יהודה,8,,580,"קתרוסית מרובעת
מכנף נאה","1
1",2
דרך יבנה 36,כריתה,https://www.rehovot.muni.il/uploads/n/1695110212.9232.pdf,03/10/23-03/10/26,2026-10-03,דרך יבנה 36|כריתה|https://www.rehovot.muni.il/uploads/n/1695110212.9232.pdf|03/10/23-03/10/26,http_200,19/09/2023,03/10/23,03/10/26,"חב 'בית האלמוג בע""מ",בניה,הקמת מבנה מגורים,רחובות,דרך יבנה,36,,126,שסק יפני,1,1
הרצל 234,כריתה,https://www.rehovot.muni.il/uploads/n/1695197034.7519.pdf,03/10/23-03/10/26,2026-10-03,הרצל 234|כריתה|https://www.rehovot.muni.il/uploads/n/1695197034.7519.pdf|03/10/23-03/10/26,http_200,19/09/2023,03/10/23,03/10/26,מכון ויצמן למדע,בניה,הקמת בניין כימיה חדש,רחובות,הרצל,234,,44-45,אורן הצנובר,1,1
קלמן גבריאלוב 31-33,כריתה,https://www.rehovot.muni.il/uploads/n/1695026248.3923.pdf,02/10/23-02/10/26,2026-10-02,קלמן גבריאלוב 31-33|כריתה|https://www.rehovot.muni.il/uploads/n/1695026248.3923.pdf|02/10/23-02/10/26,http_200,18/09/2023,02/10/23,02/10/26,חב ',בניה,הקמת מבנה מגורים,רחובות,קלמן גבריאלוב,31-33,,188,"מכנף נאה
חרוב מצוי","3
1",2
בני משה 3,כריתה,https://www.rehovot.muni.il/uploads/n/1695018181.4298.pdf,02/10/23-02/10/26,2026-10-02,בני משה 3|כריתה|https://www.rehovot.muni.il/uploads/n/1695018181.4298.pdf|02/10/23-02/10/26,http_200,18/09/2023,02/10/23,02/10/26,"ירון גדסי יזמות ובניה בע""מ",בניה,הקמת מבנה מגורים,רחובות,בני משה,3,,673,"הדר התפוז
אראוקריה רמה
פלומריה ריחנית
פלפלון דמוי-אלה
תות לבן","3
1
1
1
1",5
הרצל,כריתה,https://www.rehovot.muni.il/uploads/n/1695026316.9901.pdf,02/10/23-02/10/26,2026-10-02,הרצל|כריתה|https://www.rehovot.muni.il/uploads/n/1695026316.9901.pdf|02/10/23-02/10/26,http_200,18/09/2023,02/10/23,02/10/26,רות פורר,בניה,הקמת מבנה מגורים,רחובות,הרצל,211,,206,"פיקוס קדוש
גרווילאה חסונה","1
1",2
יקינטון,כריתה,https://www.rehovot.muni.il/uploads/n/1747633629.3516.pdf,01/06/25 - 01/10/26,2026-10-01,יקינטון|כריתה|https://www.rehovot.muni.il/uploads/n/1747633629.3516.pdf|01/06/25 - 01/10/26,http_200,18/05/2025,01/06/25,01/10/25,עיריית רחובות,עץ מת,עץ יבש,רחובות,יקינטון,,3697,402,ספיון השעווה,1,1
האמהות 11,כריתה,https://www.rehovot.muni.il/uploads/n/1694586805.1770.pdf,27/09/23-27/09/26,2026-09-27,האמהות 11|כריתה|https://www.rehovot.muni.il/uploads/n/1694586805.1770.pdf|27/09/23-27/09/26,http_200,13/09/2023,27/09/23,27/09/26,"ירון גדסי יזמות ובניה בע""מ",בניה,הקמת מבנה מגורים,רחובות,האמהות,11,,546,"הדר התפוז
הדר האשכולית
אראוקריה רמה","4
1
1",3
הירדן 39,כריתה,https://www.rehovot.muni.il/uploads/n/1694603190.8891.pdf,27/09/23-27/09/26,2026-09-27,הירדן 39|כריתה|https://www.rehovot.muni.il/uploads/n/1694603190.8891.pdf|27/09/23-27/09/26,http_200,13/09/2023,27/09/23,27/09/26,עופר פינס,בניה,הקמת מבנה מגורים,רחובות,הירדן,39,,135,מנגו הודי,1,1
האמהות 7-9,כריתה,https://www.rehovot.muni.il/uploads/n/1694603305.1980.pdf,27/09/23-27/09/26,2026-09-27,האמהות 7-9|כריתה|https://www.rehovot.muni.il/uploads/n/1694603305.1980.pdf|27/09/23-27/09/26,http_200,13/09/2023,27/09/23,27/09/26,אסף נחשוני,בניה,הקמת מבנה מגורים,רחובות,האמהות,7-9,,545,"שסק יפני
מנגו הודי
שפלרה מקרינה","1
1
1",3
יוסף בוסל 1,כריתה,https://www.rehovot.muni.il/uploads/n/1694594507.9736.pdf,27/09/23-27/09/26,2026-09-27,יוסף בוסל 1|כריתה|https://www.rehovot.muni.il/uploads/n/1694594507.9736.pdf|27/09/23-27/09/26,http_200,13/09/2023,27/09/23,27/09/26,אסף פלג,בניה,תוספת בנייה,רחובות,יוסף בוסל,1,,338,"הדר התפוז
הדר המנדרין
הדר האשכולית","2
2
1",3
לייב פינסקר 12,כריתה,https://www.rehovot.muni.il/uploads/n/1694592316.3900.pdf,27/09/23-27/09/26,2026-09-27,לייב פינסקר 12|כריתה|https://www.rehovot.muni.il/uploads/n/1694592316.3900.pdf|27/09/23-27/09/26,http_200,13/09/2023,27/09/23,27/09/26,"חב 'לב אפשטיין בע""מ",בניה,הקמת מבנה מגורים,רחובות,לייב פינסקר,12,,45,"הדר האשכולית
ברכיכיטון צפצפתי
אזדרכת מצויה
פיקוס בנימינה
שלטית מקומטת","1
1
1
1
2",5
זאב יעבץ 14,כריתה,https://www.rehovot.muni.il/uploads/n/1694422009.9888.pdf,25/09/23-25/09/26,2026-09-25,זאב יעבץ 14|כריתה|https://www.rehovot.muni.il/uploads/n/1694422009.9888.pdf|25/09/23-25/09/26,http_200,11/09/2023,25/09/23,25/09/26,חב 'קדמת עדן אינג'נירינג קונסול,בניה,הקמת מבנה מגורים,רחובות,זאב יעבץ,14,,517,"הדר התפוז
פיקוס השדרות
גרווילאה חסונה
אזדרכת מצויה","1
1
2
1",4
"הגר""א 7",כריתה,https://www.rehovot.muni.il/uploads/n/1694421942.3757.pdf,25/09/23-25/09/26,2026-09-25,"הגר""א 7|כריתה|https://www.rehovot.muni.il/uploads/n/1694421942.3757.pdf|25/09/23-25/09/26",http_200,11/09/2023,25/09/23,25/09/26,עידו גדסי,בניה,הקמת מבנה מגורים,רחובות,"הגר""א",7,,139,הדר התפוז,1,1
